"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"fit_quad",0,0,-819.18470010032,14.588203157568,55.0815861682355,3.30244187062543,1638.36940020064,29.1764063151361
"fit_linear",-736.307146077446,17.9183108610306,-1555.49184617777,13.2833513534189,2.94362586754078,0.220084748971675,3110.98369235553,26.5667027068378
